,Beta,Gamma,t,min(S),max(I)
233,0.55,0.1,94.58369640618986,0,12576
234,0.55,0.15,62.71060635362411,0,12373
235,0.55,0.2,44.36897005319319,0,12056
236,0.55,0.25,38.374301476117815,0,12099
237,0.55,0.3,37.10171707414929,0,11798
238,0.55,0.35,31.50949832522592,0,12035
239,0.55,0.4,23.80114677987915,0,11907
240,0.55,0.45,22.430977183618737,0,11656
241,0.55,0.5,19.982599686740198,0,11486
242,0.55,0.55,20.186923287545593,0,11526
243,0.55,0.6,15.972555739011725,0,11550
244,0.55,0.65,18.256746401201198,0,11323
245,0.55,0.7,12.48916773757906,0,10915
246,0.55,0.75,12.746714828285825,0,11308
247,0.55,0.8,0.012164698764292771,12796,1
248,0.55,0.85,14.028015408066757,0,11103
249,0.55,0.9,10.995636211875693,0,11149
250,0.55,0.95,10.365513094835624,0,11189
251,0.55,1.0,9.511630029042367,0,11028
252,0.6,0.01,1046.6528843042424,0,12860
253,0.6,0.05,194.51072698195182,0,12796
254,0.6,0.1,108.46750406967091,0,12449
255,0.6,0.15,62.17244907148746,0,12562
256,0.6,0.2,0.005331892416808953,12841,1
257,0.6,0.25,38.43906364269558,0,12100
258,0.6,0.3,35.02529992179005,0,11951
259,0.6,0.35,29.468911802881408,0,11442
260,0.6,0.4,25.052922934415545,0,11899
261,0.6,0.45,19.62188962460021,0,12064
262,0.6,0.5,21.422940420613433,0,11748
263,0.6,0.55,17.143818913835613,0,11591
264,0.6,0.6,13.669048607602427,0,11326
265,0.6,0.65,14.28162696502203,0,11585
266,0.6,0.7,13.825252138134305,0,11183
267,0.6,0.75,10.996343684516606,0,11183
268,0.6,0.8,13.997712080205414,0,10098
269,0.6,0.85,12.825062334263597,0,10956
270,0.6,0.9,11.344393928510925,0,11101
271,0.6,0.95,10.586136782349804,0,11333
272,0.6,1.0,9.983312706600133,0,10726
273,0.65,0.01,923.9650517047501,0,12864
274,0.65,0.05,157.369345669888,0,12570
275,0.65,0.1,81.99418985442713,0,12666
276,0.65,0.15,66.12492808460046,0,12483
277,0.65,0.2,44.997701087052576,0,12588
278,0.65,0.25,40.084096461075795,0,12336
279,0.65,0.3,29.31475033185705,0,12059
280,0.65,0.35,27.783709014401225,0,12154
281,0.65,0.4,25.535126417092503,0,12024
282,0.65,0.45,22.840948459822933,0,11679
283,0.65,0.5,22.865428397743678,0,12038
284,0.65,0.55,18.158483654613022,0,11478
285,0.65,0.6,17.596123000023606,0,11403
286,0.65,0.65,13.672564827014474,0,11486
287,0.65,0.7,15.217048740676708,0,11596
288,0.65,0.75,15.257751537432355,0,11709
289,0.65,0.8,13.08475077582002,0,11697
290,0.65,0.85,13.557389276371115,0,11193
291,0.65,0.9,10.515060444444853,0,11292
292,0.65,0.95,0.021879335214059027,12949,1
293,0.65,1.0,8.659151774985892,0,11649
294,0.7,0.01,808.8995927696187,0,12943
295,0.7,0.05,187.53951810274918,0,12837
296,0.7,0.1,108.55439122015636,0,12613
297,0.7,0.15,54.82441632898003,0,12509
298,0.7,0.2,45.55639431806696,0,12568
299,0.7,0.25,35.58759093111771,0,12573
300,0.7,0.3,32.88839653231657,0,12274
301,0.7,0.35,43.830225946112954,0,12101
302,0.7,0.4,21.485743835255107,0,12419
303,0.7,0.45,26.54222463557848,0,12088
304,0.7,0.5,25.267532966108323,0,12245
305,0.7,0.55,21.641649018111448,0,11844
